日期,星期,商品,天气,是否周末,是否促销,销量,客单价,销售额
4/29/2024,周一,青稞奶茶,雨,FALSE,FALSE,29,17,493
3/6/2024,周三,水果茶,雪,FALSE,FALSE,21,13,273
5/13/2024,周一,冰美式,雨,FALSE,FALSE,12,17,204
4/26/2024,周五,青稞奶茶,雪,FALSE,FALSE,22,11,242
4/22/2024,周一,芝士奶盖,晴,FALSE,FALSE,25,16,400
4/6/2024,周六,水果茶,晴,TRUE,FALSE,47,14,658
4/21/2024,周日,可可奶茶,雪,TRUE,FALSE,25,13,325
5/19/2024,周日,抹茶拿铁,阴,TRUE,FALSE,48,14,672
4/6/2024,周六,抹茶拿铁,晴,TRUE,TRUE,69,13,897
4/9/2024,周二,可可奶茶,雪,FALSE,FALSE,13,11,143
3/16/2024,周六,杨枝甘露,雨,TRUE,FALSE,44,21,924
4/30/2024,周二,柠檬茶,雪,FALSE,TRUE,46,18,828
3/18/2024,周一,芋泥波波,阴,FALSE,FALSE,26,14,364
4/6/2024,周六,青稞奶茶,雪,TRUE,FALSE,50,12,600
5/1/2024,周三,芝士奶盖,雪,FALSE,FALSE,26,17,442
3/25/2024,周一,柠檬茶,多云,FALSE,FALSE,28,10,280
4/30/2024,周二,水果茶,多云,FALSE,FALSE,22,12,264
5/15/2024,周三,芝士奶盖,阴,FALSE,TRUE,30,12,360
5/23/2024,周四,杨枝甘露,阴,FALSE,FALSE,16,20,320
4/20/2024,周六,芋泥波波,雪,TRUE,FALSE,40,20,800
5/2/2024,周四,可可奶茶,雪,FALSE,TRUE,41,14,574
3/12/2024,周二,水果茶,晴,FALSE,FALSE,-1,10,170
4/7/2024,周日,芝士奶盖,阴,TRUE,TRUE,60,19,1140
3/24/2024,周日,杨枝甘露,晴,TRUE,FALSE,36,22,792
5/3/2024,周五,冰美式,多云,FALSE,FALSE,18,17,306
3/2/2024,周六,抹茶拿铁,雪,TRUE,TRUE,56,19,1064
4/24/2024,周三,青稞奶茶,雨,FALSE,TRUE,47,11,517
5/13/2024,周一,芝士奶盖,雨,FALSE,TRUE,999,14,630
3/7/2024,周四,冰美式,雨,FALSE,FALSE,28,19,532
3/29/2024,周五,柠檬茶,多云,FALSE,FALSE,0,20,560
3/5/2024,周二,冰美式,多云,FALSE,TRUE,40,16,640
3/17/2024,周日,可可奶茶,雪,TRUE,FALSE,40,12,480
5/1/2024,周三,青稞奶茶,晴,FALSE,FALSE,21,12,252
3/29/2024,周五,水果茶,晴,FALSE,FALSE,21,14,294
4/28/2024,周日,芝士奶盖,雪,TRUE,FALSE,43,15,645
3/30/2024,周六,抹茶拿铁,雪,TRUE,FALSE,33,15,495
3/29/2024,周五,芋泥波波,雨,FALSE,FALSE,-1,12,300
4/8/2024,周一,抹茶拿铁,晴,FALSE,FALSE,21,12,252
4/17/2024,周三,可可奶茶,雪,FALSE,FALSE,25,16,400
5/2/2024,周四,冰美式,雨,FALSE,TRUE,41,17,697
3/31/2024,周日,芝士奶盖,雨,TRUE,FALSE,38,15,570
4/5/2024,周五,柠檬茶,阴,FALSE,TRUE,36,20,720
3/3/2024,周日,珍珠奶茶,多云,TRUE,FALSE,44,13,572
5/10/2024,周五,柠檬茶,多云,FALSE,FALSE,-1,19,342
3/17/2024,周日,可可奶茶,多云,TRUE,TRUE,45,10,450
3/31/2024,周日,冰美式,晴,TRUE,TRUE,47,16,752
3/9/2024,周六,抹茶拿铁,雨,TRUE,FALSE,40,17,680
5/18/2024,周六,珍珠奶茶,雨,TRUE,FALSE,41,12,492
4/21/2024,周日,水果茶,阴,TRUE,FALSE,35,11,385
4/11/2024,周四,冰美式,晴,FALSE,TRUE,43,19,817
4/11/2024,周四,水果茶,阴,FALSE,FALSE,25,11,275
3/15/2024,周五,可可奶茶,阴,FALSE,FALSE,19,16,304
4/28/2024,周日,水果茶,晴,TRUE,FALSE,43,20,860
3/20/2024,周三,抹茶拿铁,晴,FALSE,FALSE,13,16,208
4/17/2024,周三,杨枝甘露,雪,FALSE,FALSE,19,20,380
4/22/2024,周一,芝士奶盖,晴,FALSE,FALSE,32,14,448
5/13/2024,周一,可可奶茶,多云,FALSE,FALSE,19,11,209
5/11/2024,周六,芝士奶盖,雨,TRUE,FALSE,34,18,612
5/19/2024,周日,冰美式,雪,TRUE,TRUE,69,10,690
5/29/2024,周三,青稞奶茶,雨,FALSE,TRUE,41,20,820
3/19/2024,周二,珍珠奶茶,雪,FALSE,FALSE,18,15,270
4/17/2024,周三,青稞奶茶,雪,FALSE,FALSE,20,12,240
5/19/2024,周日,珍珠奶茶,雨,TRUE,FALSE,33,15,495
4/23/2024,周二,青稞奶茶,雪,FALSE,TRUE,33,14,462
5/15/2024,周三,抹茶拿铁,晴,FALSE,FALSE,0,10,280
3/28/2024,周四,杨枝甘露,雨,FALSE,FALSE,18,21,378
3/23/2024,周六,杨枝甘露,雪,TRUE,FALSE,45,22,990
4/15/2024,周一,芋泥波波,晴,FALSE,FALSE,29,11,319
5/13/2024,周一,水果茶,阴,FALSE,FALSE,28,10,280
3/22/2024,周五,冰美式,雨,FALSE,TRUE,38,16,608
5/7/2024,周二,芋泥波波,雨,FALSE,FALSE,25,15,375
3/10/2024,周日,可可奶茶,晴,TRUE,FALSE,48,15,720
5/22/2024,周三,杨枝甘露,晴,FALSE,TRUE,32,22,704
5/23/2024,周四,芋泥波波,阴,FALSE,FALSE,24,19,456
5/12/2024,周日,冰美式,雨,TRUE,TRUE,53,17,901
4/5/2024,周五,冰美式,雨,FALSE,FALSE,15,17,255
3/8/2024,周五,芝士奶盖,晴,FALSE,FALSE,20,19,380
4/19/2024,周五,抹茶拿铁,阴,FALSE,FALSE,20,20,400
5/17/2024,周五,抹茶拿铁,晴,FALSE,FALSE,19,11,209
3/23/2024,周六,珍珠奶茶,阴,TRUE,FALSE,40,13,520
4/6/2024,周六,水果茶,雨,TRUE,FALSE,38,20,760
3/9/2024,周六,芝士奶盖,雪,TRUE,FALSE,32,14,448
5/24/2024,周五,冰美式,雨,FALSE,TRUE,36,15,540
5/23/2024,周四,水果茶,雪,FALSE,FALSE,15,14,210
5/22/2024,周三,芝士奶盖,雪,FALSE,TRUE,40,18,720
4/16/2024,周二,青稞奶茶,多云,FALSE,FALSE,22,13,286
3/18/2024,周一,杨枝甘露,雨,FALSE,FALSE,13,22,286
5/7/2024,周二,珍珠奶茶,雪,FALSE,TRUE,38,13,494
5/28/2024,周二,冰美式,阴,FALSE,TRUE,40,13,520
5/18/2024,周六,青稞奶茶,多云,TRUE,FALSE,43,17,731
3/25/2024,周一,芝士奶盖,阴,FALSE,FALSE,30,18,540
3/21/2024,周四,柠檬茶,雨,FALSE,FALSE,24,18,432
5/31/2024,周五,可可奶茶,雨,FALSE,TRUE,29,17,493
3/19/2024,周二,水果茶,多云,FALSE,FALSE,17,10,170
4/20/2024,周六,可可奶茶,多云,TRUE,FALSE,37,15,555
4/10/2024,周三,芋泥波波,多云,FALSE,TRUE,41,12,492
4/30/2024,周二,抹茶拿铁,晴,FALSE,TRUE,25,18,450
5/17/2024,周五,可可奶茶,晴,FALSE,FALSE,26,14,364
3/31/2024,周日,水果茶,雪,TRUE,FALSE,46,17,782
3/3/2024,周日,可可奶茶,多云,TRUE,FALSE,0,16,752
3/31/2024,周日,冰美式,多云,TRUE,FALSE,39,18,702
3/9/2024,周六,可可奶茶,雪,TRUE,FALSE,0,18,900
3/6/2024,周三,水果茶,雨,FALSE,FALSE,26,11,286
5/24/2024,周五,芋泥波波,多云,FALSE,TRUE,43,20,860
5/27/2024,周一,抹茶拿铁,多云,FALSE,FALSE,-1,17,442
3/6/2024,周三,柠檬茶,雨,FALSE,FALSE,28,17,476
5/22/2024,周三,柠檬茶,雨,FALSE,FALSE,29,14,406
4/17/2024,周三,水果茶,阴,FALSE,FALSE,28,15,420
5/3/2024,周五,抹茶拿铁,雪,FALSE,FALSE,22,16,352
5/17/2024,周五,杨枝甘露,雨,FALSE,TRUE,44,20,880
5/17/2024,周五,水果茶,阴,FALSE,FALSE,15,15,225
4/25/2024,周四,青稞奶茶,晴,FALSE,FALSE,17,15,255
5/26/2024,周日,杨枝甘露,多云,TRUE,FALSE,-1,21,735
3/31/2024,周日,芝士奶盖,阴,TRUE,FALSE,36,19,684
4/27/2024,周六,芝士奶盖,阴,TRUE,FALSE,45,12,540
4/20/2024,周六,芝士奶盖,雨,TRUE,FALSE,46,10,460
5/3/2024,周五,可可奶茶,雪,FALSE,TRUE,43,13,559
4/6/2024,周六,抹茶拿铁,晴,TRUE,TRUE,49,12,588
4/26/2024,周五,芋泥波波,雨,FALSE,FALSE,28,18,504
4/8/2024,周一,杨枝甘露,雨,FALSE,FALSE,16,19,304
3/31/2024,周日,抹茶拿铁,雨,TRUE,FALSE,30,17,510
5/10/2024,周五,杨枝甘露,晴,FALSE,FALSE,19,22,418
4/22/2024,周一,冰美式,多云,FALSE,FALSE,22,11,242
5/27/2024,周一,可可奶茶,多云,FALSE,FALSE,29,20,580
3/17/2024,周日,水果茶,晴,TRUE,FALSE,49,12,588
3/21/2024,周四,芝士奶盖,雨,FALSE,FALSE,25,14,350
4/2/2024,周二,柠檬茶,多云,FALSE,FALSE,27,18,486
5/22/2024,周三,杨枝甘露,多云,FALSE,FALSE,23,20,460
5/12/2024,周日,珍珠奶茶,晴,TRUE,TRUE,54,14,756
5/13/2024,周一,水果茶,阴,FALSE,FALSE,18,14,252
4/8/2024,周一,抹茶拿铁,阴,FALSE,FALSE,18,10,180
4/23/2024,周二,抹茶拿铁,多云,FALSE,FALSE,26,15,390
4/10/2024,周三,芝士奶盖,多云,FALSE,FALSE,30,18,540
3/31/2024,周日,抹茶拿铁,雨,TRUE,FALSE,30,11,330
4/19/2024,周五,冰美式,多云,FALSE,FALSE,25,15,375
4/10/2024,周三,柠檬茶,阴,FALSE,FALSE,22,17,374
5/3/2024,周五,珍珠奶茶,阴,FALSE,FALSE,15,13,195
3/7/2024,周四,珍珠奶茶,阴,FALSE,FALSE,29,15,435
3/2/2024,周六,芋泥波波,多云,TRUE,FALSE,43,16,688
4/21/2024,周日,珍珠奶茶,雪,TRUE,TRUE,65,12,780
4/27/2024,周六,可可奶茶,雪,TRUE,FALSE,34,12,408
4/20/2024,周六,芝士奶盖,雪,TRUE,FALSE,37,13,481
4/21/2024,周日,可可奶茶,晴,TRUE,TRUE,48,18,864
5/17/2024,周五,可可奶茶,雨,FALSE,FALSE,19,12,228
5/18/2024,周六,青稞奶茶,雨,TRUE,FALSE,51,18,918
5/12/2024,周日,青稞奶茶,晴,TRUE,FALSE,50,11,550
5/14/2024,周二,青稞奶茶,雪,FALSE,FALSE,20,19,380
3/7/2024,周四,冰美式,多云,FALSE,FALSE,34,16,544
5/27/2024,周一,柠檬茶,雪,FALSE,FALSE,0,13,156
4/23/2024,周二,杨枝甘露,多云,FALSE,FALSE,32,21,672
3/8/2024,周五,杨枝甘露,雪,FALSE,FALSE,26,21,546
4/10/2024,周三,杨枝甘露,雪,FALSE,FALSE,29,20,580
3/25/2024,周一,柠檬茶,雪,FALSE,FALSE,22,14,308
5/28/2024,周二,抹茶拿铁,阴,FALSE,FALSE,24,14,336
5/26/2024,周日,可可奶茶,阴,TRUE,FALSE,999,14,546
3/11/2024,周一,芝士奶盖,雨,FALSE,FALSE,27,13,351
4/4/2024,周四,可可奶茶,多云,FALSE,TRUE,40,13,520
5/7/2024,周二,柠檬茶,晴,FALSE,TRUE,39,11,429
3/18/2024,周一,珍珠奶茶,阴,FALSE,FALSE,22,15,330
4/6/2024,周六,芝士奶盖,晴,TRUE,FALSE,35,20,700
5/8/2024,周三,珍珠奶茶,阴,FALSE,FALSE,17,12,204
4/20/2024,周六,抹茶拿铁,雨,TRUE,FALSE,30,14,420
3/14/2024,周四,芝士奶盖,阴,FALSE,FALSE,27,18,486
3/18/2024,周一,可可奶茶,雨,FALSE,TRUE,40,12,480
5/22/2024,周三,青稞奶茶,晴,FALSE,FALSE,19,19,361
3/25/2024,周一,杨枝甘露,阴,FALSE,FALSE,23,21,483
3/24/2024,周日,杨枝甘露,雨,TRUE,FALSE,40,20,800
4/27/2024,周六,青稞奶茶,雨,TRUE,FALSE,44,10,440
4/16/2024,周二,柠檬茶,晴,FALSE,FALSE,13,16,208
5/30/2024,周四,青稞奶茶,雨,FALSE,FALSE,16,13,208
5/1/2024,周三,杨枝甘露,雪,FALSE,FALSE,32,21,672
5/25/2024,周六,柠檬茶,雪,TRUE,FALSE,33,18,594
5/30/2024,周四,芝士奶盖,雪,FALSE,TRUE,38,13,494
3/20/2024,周三,杨枝甘露,雪,FALSE,FALSE,30,19,570
5/2/2024,周四,芋泥波波,晴,FALSE,FALSE,32,16,512
3/8/2024,周五,可可奶茶,雨,FALSE,FALSE,30,14,420
3/28/2024,周四,冰美式,晴,FALSE,FALSE,13,18,234
3/9/2024,周六,抹茶拿铁,雨,TRUE,FALSE,28,20,560
5/22/2024,周三,水果茶,阴,FALSE,FALSE,27,16,432
5/24/2024,周五,可可奶茶,雨,FALSE,TRUE,38,18,684
3/29/2024,周五,珍珠奶茶,雨,FALSE,FALSE,18,15,270
3/30/2024,周六,柠檬茶,雨,TRUE,FALSE,47,10,470
4/23/2024,周二,冰美式,多云,FALSE,FALSE,999,19,209
5/26/2024,周日,珍珠奶茶,晴,TRUE,FALSE,35,13,455
3/8/2024,周五,杨枝甘露,多云,FALSE,FALSE,28,20,560
5/26/2024,周日,芝士奶盖,雨,TRUE,FALSE,42,18,756
4/8/2024,周一,青稞奶茶,雪,FALSE,FALSE,13,20,260
5/11/2024,周六,抹茶拿铁,雨,TRUE,FALSE,36,16,576
4/10/2024,周三,水果茶,多云,FALSE,FALSE,25,18,450
3/29/2024,周五,青稞奶茶,阴,FALSE,FALSE,22,16,352
5/11/2024,周六,可可奶茶,阴,TRUE,FALSE,32,15,480
4/27/2024,周六,芝士奶盖,雪,TRUE,FALSE,30,10,300
5/26/2024,周日,冰美式,晴,TRUE,FALSE,47,19,893
5/11/2024,周六,柠檬茶,多云,TRUE,FALSE,45,14,630
3/2/2024,周六,柠檬茶,晴,TRUE,FALSE,38,13,494
5/30/2024,周四,柠檬茶,多云,FALSE,FALSE,26,16,416
5/23/2024,周四,芝士奶盖,雨,FALSE,FALSE,26,17,442
4/30/2024,周二,芝士奶盖,雨,FALSE,FALSE,16,19,304
3/19/2024,周二,珍珠奶茶,雪,FALSE,FALSE,27,15,405
3/26/2024,周二,芝士奶盖,阴,FALSE,FALSE,20,17,340
5/27/2024,周一,芝士奶盖,阴,FALSE,FALSE,28,17,476
4/15/2024,周一,杨枝甘露,雪,FALSE,FALSE,22,18,396
3/10/2024,周日,珍珠奶茶,阴,TRUE,TRUE,48,12,576
3/2/2024,周六,柠檬茶,阴,TRUE,FALSE,50,20,1000
5/18/2024,周六,抹茶拿铁,晴,TRUE,TRUE,999,10,640
4/5/2024,周五,可可奶茶,晴,FALSE,FALSE,29,16,464
3/23/2024,周六,芋泥波波,雪,TRUE,TRUE,50,18,900
4/15/2024,周一,青稞奶茶,晴,FALSE,FALSE,28,17,476
5/29/2024,周三,柠檬茶,晴,FALSE,FALSE,29,10,290
4/18/2024,周四,水果茶,晴,FALSE,FALSE,27,11,297
4/25/2024,周四,芝士奶盖,雪,FALSE,FALSE,16,13,208
5/28/2024,周二,冰美式,雨,FALSE,TRUE,46,14,644
5/12/2024,周日,珍珠奶茶,雨,TRUE,TRUE,52,13,676
5/31/2024,周五,水果茶,雨,FALSE,TRUE,34,16,544
5/9/2024,周四,芝士奶盖,多云,FALSE,FALSE,23,18,414
4/14/2024,周日,珍珠奶茶,阴,TRUE,FALSE,29,14,406
5/18/2024,周六,冰美式,雨,TRUE,TRUE,58,17,986
5/10/2024,周五,水果茶,多云,FALSE,FALSE,33,16,528
5/19/2024,周日,青稞奶茶,晴,TRUE,TRUE,50,20,1000
4/19/2024,周五,芝士奶盖,晴,FALSE,TRUE,42,15,630
3/14/2024,周四,杨枝甘露,多云,FALSE,FALSE,20,22,440
3/14/2024,周四,珍珠奶茶,雨,FALSE,FALSE,21,14,294
3/2/2024,周六,青稞奶茶,阴,TRUE,FALSE,46,13,598
3/22/2024,周五,水果茶,多云,FALSE,FALSE,19,17,323
3/22/2024,周五,水果茶,阴,FALSE,FALSE,19,15,285
4/1/2024,周一,抹茶拿铁,阴,FALSE,TRUE,30,16,480
5/19/2024,周日,水果茶,阴,TRUE,FALSE,45,19,855
4/11/2024,周四,冰美式,阴,FALSE,FALSE,22,15,330
5/28/2024,周二,抹茶拿铁,雨,FALSE,FALSE,23,15,345
5/12/2024,周日,柠檬茶,雪,TRUE,TRUE,61,17,1037
3/27/2024,周三,抹茶拿铁,晴,FALSE,FALSE,25,20,500
5/21/2024,周二,青稞奶茶,雨,FALSE,FALSE,23,16,368
5/16/2024,周四,抹茶拿铁,雪,FALSE,FALSE,0,18,504
5/29/2024,周三,可可奶茶,晴,FALSE,FALSE,22,20,440
5/22/2024,周三,冰美式,雪,FALSE,FALSE,21,20,420
4/12/2024,周五,水果茶,晴,FALSE,TRUE,34,18,612
5/28/2024,周二,冰美式,阴,FALSE,FALSE,24,20,480
5/4/2024,周六,杨枝甘露,晴,TRUE,FALSE,40,21,840
3/11/2024,周一,芋泥波波,雨,FALSE,FALSE,21,13,273
4/14/2024,周日,抹茶拿铁,阴,TRUE,FALSE,35,15,525
3/6/2024,周三,芋泥波波,雨,FALSE,FALSE,20,12,240
4/1/2024,周一,可可奶茶,雪,FALSE,TRUE,39,17,663
4/21/2024,周日,杨枝甘露,阴,TRUE,FALSE,39,19,741
4/24/2024,周三,水果茶,多云,FALSE,FALSE,11,19,209
5/8/2024,周三,杨枝甘露,雨,FALSE,TRUE,36,21,756
5/21/2024,周二,芝士奶盖,雪,FALSE,FALSE,23,15,345
4/28/2024,周日,冰美式,雨,TRUE,FALSE,39,11,429
4/10/2024,周三,芋泥波波,雨,FALSE,TRUE,34,18,612
5/16/2024,周四,杨枝甘露,阴,FALSE,TRUE,50,19,950
5/2/2024,周四,青稞奶茶,多云,FALSE,FALSE,21,19,399
4/15/2024,周一,珍珠奶茶,多云,FALSE,TRUE,49,15,735
5/2/2024,周四,水果茶,阴,FALSE,TRUE,43,13,559
4/5/2024,周五,柠檬茶,多云,FALSE,FALSE,28,17,476
3/15/2024,周五,冰美式,雨,FALSE,FALSE,18,18,324
3/6/2024,周三,抹茶拿铁,阴,FALSE,TRUE,39,14,546
3/5/2024,周二,抹茶拿铁,雨,FALSE,FALSE,19,17,323
3/16/2024,周六,柠檬茶,雪,TRUE,FALSE,40,20,800
5/18/2024,周六,杨枝甘露,多云,TRUE,FALSE,40,20,800
5/16/2024,周四,可可奶茶,雨,FALSE,FALSE,19,14,266
5/5/2024,周日,芋泥波波,阴,TRUE,FALSE,33,20,660
3/17/2024,周日,柠檬茶,雨,TRUE,FALSE,47,16,752
5/13/2024,周一,青稞奶茶,阴,FALSE,FALSE,33,11,363
4/5/2024,周五,芝士奶盖,阴,FALSE,FALSE,24,11,264
4/28/2024,周日,芝士奶盖,雪,TRUE,FALSE,33,13,429
4/11/2024,周四,青稞奶茶,雪,FALSE,FALSE,29,17,493
5/27/2024,周一,珍珠奶茶,晴,FALSE,FALSE,18,12,216
3/21/2024,周四,抹茶拿铁,晴,FALSE,FALSE,30,13,390
3/17/2024,周日,青稞奶茶,雨,TRUE,TRUE,49,11,539
5/23/2024,周四,杨枝甘露,阴,FALSE,FALSE,14,21,294
5/30/2024,周四,芋泥波波,多云,FALSE,FALSE,12,19,228
5/27/2024,周一,抹茶拿铁,晴,FALSE,FALSE,11,16,176
5/1/2024,周三,芋泥波波,阴,FALSE,TRUE,29,15,435
4/8/2024,周一,杨枝甘露,多云,FALSE,FALSE,32,19,608
5/12/2024,周日,珍珠奶茶,多云,TRUE,FALSE,47,13,611
5/18/2024,周六,抹茶拿铁,晴,TRUE,FALSE,33,11,363
4/19/2024,周五,芝士奶盖,雨,FALSE,FALSE,26,14,364
4/1/2024,周一,可可奶茶,晴,FALSE,FALSE,29,14,406
5/17/2024,周五,可可奶茶,阴,FALSE,FALSE,16,13,208
3/15/2024,周五,柠檬茶,雪,FALSE,TRUE,40,15,600
5/12/2024,周日,水果茶,雪,TRUE,FALSE,-1,11,473
